County,County Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error,% of Total Deaths
"Autauga County, AL",1001,520,55416,938.36,857.7,1019.01,41.15,884.39,807.04,961.73,39.46,0.02%
"Baldwin County, AL",1003,1974,208563,946.48,904.72,988.23,21.3,716.92,684.42,749.41,16.58,0.07%
"Barbour County, AL",1005,256,25965,985.94,865.16,1106.72,61.62,800.68,700.55,900.8,51.08,0.01%
"Bibb County, AL",1007,239,22643,1055.51,921.69,1189.33,68.28,927.67,808.06,1047.28,61.03,0.01%
"Blount County, AL",1009,697,57704,1207.89,1118.21,1297.56,45.75,989.37,914.2,1064.54,38.35,0.03%
"Bullock County, AL",1011,133,10362,1283.54,1065.39,1501.68,111.3,1063.01,879.38,1246.65,93.69,0.00%
"Butler County, AL",1013,275,19998,1375.14,1212.61,1537.67,82.92,1014,888.87,1139.12,63.84,0.01%
"Calhoun County, AL",1015,1404,114611,1225.01,1160.93,1289.09,32.69,1023.86,969.04,1078.68,27.97,0.05%
"Chambers County, AL",1017,460,33843,1359.22,1235,1483.43,63.37,1015.77,920.25,1111.29,48.73,0.02%
"Cherokee County, AL",1019,361,25725,1403.3,1258.54,1548.07,73.86,1022.32,910.63,1134.02,56.99,0.01%
"Chilton County, AL",1021,475,43941,1080.99,983.78,1178.21,49.6,920.05,835.71,1004.39,43.03,0.02%
"Choctaw County, AL",1023,180,12993,1385.36,1182.97,1587.75,103.26,978.95,827.7,1130.2,77.17,0.01%
"Clarke County, AL",1025,315,24392,1291.41,1148.79,1434.02,72.76,942.78,836.14,1049.42,54.41,0.01%
"Clay County, AL",1027,177,13492,1311.89,1118.62,1505.16,98.61,916.94,777.36,1056.53,71.22,0.01%
"Cleburne County, AL",1029,191,14924,1279.82,1098.31,1461.32,92.6,971.26,829.61,1112.92,72.27,0.01%
"Coffee County, AL",1031,508,51226,991.68,905.45,1077.92,44,843.3,768.96,917.63,37.93,0.02%
"Colbert County, AL",1033,707,54216,1304.04,1207.92,1400.17,49.04,955.83,883.43,1028.23,36.94,0.03%
"Conecuh County, AL",1035,153,12395,1234.37,1038.77,1429.96,99.79,822.67,687.01,958.33,69.22,0.01%
"Coosa County, AL",1037,160,10581,1512.14,1277.84,1746.45,119.55,1167.86,978.26,1357.46,96.74,0.01%
"Covington County, AL",1039,503,37458,1342.84,1225.48,1460.19,59.87,949.82,863.27,1036.38,44.16,0.02%
"Crenshaw County, AL",1041,191,13913,1372.82,1178.12,1567.51,99.33,999.73,854.44,1145.02,74.13,0.01%
"Cullman County, AL",1043,1012,82471,1227.1,1151.49,1302.7,38.57,988.9,926.66,1051.14,31.76,0.04%
"Dale County, AL",1045,550,49226,1117.3,1023.92,1210.67,47.64,952.37,871.52,1033.21,41.25,0.02%
"Dallas County, AL",1047,571,40008,1427.21,1310.15,1544.28,59.73,1184.19,1084.26,1284.12,50.98,0.02%
"DeKalb County, AL",1049,792,70900,1117.07,1039.27,1194.87,39.69,974.63,905.38,1043.89,35.33,0.03%
"Elmore County, AL",1051,799,81799,976.78,909.05,1044.51,34.56,917.54,852.87,982.21,33,0.03%
"Escambia County, AL",1053,522,37728,1383.59,1264.89,1502.28,60.56,1133.88,1034.91,1232.85,50.5,0.02%
"Etowah County, AL",1055,1389,102564,1354.28,1283.05,1425.5,36.34,1070.98,1013.29,1128.66,29.43,0.05%
"Fayette County, AL",1057,249,16546,1504.9,1317.97,1691.82,95.37,1068.35,930.66,1206.05,70.25,0.01%
"Franklin County, AL",1059,376,31628,1188.82,1068.65,1308.99,61.31,1021.86,916.95,1126.77,53.53,0.01%
"Geneva County, AL",1061,379,26614,1424.06,1280.69,1567.43,73.15,1022.74,917.12,1128.36,53.89,0.01%
"Greene County, AL",1063,104,8422,1234.86,997.53,1472.19,121.09,885.98,703.06,1068.89,93.32,0.00%
"Hale County, AL",1065,189,14952,1264.04,1083.83,1444.26,91.95,974.9,829.89,1119.9,73.98,0.01%
"Henry County, AL",1067,215,17164,1252.62,1085.18,1420.06,85.43,870.83,749.1,992.55,62.1,0.01%
"Houston County, AL",1069,1112,104056,1068.66,1005.84,1131.47,32.05,887.12,834.08,940.16,27.06,0.04%
"Jackson County, AL",1071,736,52138,1411.64,1309.65,1513.62,52.03,1076.54,996.31,1156.76,40.93,0.03%
"Jefferson County, AL",1073,7137,659521,1082.15,1057.04,1107.26,12.81,925.7,903.78,947.63,11.19,0.26%
"Lamar County, AL",1075,205,13918,1472.91,1271.28,1674.54,102.87,1029.75,882.64,1176.85,75.05,0.01%
"Lauderdale County, AL",1077,1161,92318,1257.61,1185.27,1329.95,36.91,933.55,878.41,988.69,28.13,0.04%
"Lawrence County, AL",1079,400,33244,1203.22,1085.31,1321.14,60.16,1021.83,918.99,1124.67,52.47,0.01%
"Lee County, AL",1081,1007,158991,633.37,594.25,672.49,19.96,756.6,708.75,804.44,24.41,0.04%
"Limestone County, AL",1083,727,92753,783.8,726.83,840.78,29.07,738.41,683.64,793.18,27.94,0.03%
"Lowndes County, AL",1085,148,10358,1428.85,1198.64,1659.05,117.45,1122.92,935.23,1310.61,95.76,0.01%
"Macon County, AL",1087,259,18963,1365.82,1199.48,1532.16,84.87,1045.58,913.94,1177.23,67.17,0.01%
"Madison County, AL",1089,3282,356967,919.41,887.96,950.87,16.05,834.15,805.24,863.07,14.75,0.12%
"Marengo County, AL",1091,270,19673,1372.44,1208.73,1536.15,83.52,963.87,844.72,1083.02,60.79,0.01%
"Marion County, AL",1093,388,29998,1293.42,1164.72,1422.12,65.66,929.52,833.59,1025.46,48.95,0.01%
"Marshall County, AL",1095,1187,95157,1247.41,1176.45,1318.38,36.21,1052.75,991.71,1113.8,31.15,0.04%
"Mobile County, AL",1097,4411,414836,1063.31,1031.93,1094.69,16.01,944.44,916.07,972.8,14.47,0.16%
"Monroe County, AL",1099,237,21530,1100.79,960.64,1240.94,71.5,861.85,747.23,976.47,58.48,0.01%
"Montgomery County, AL",1101,2150,226349,949.86,909.71,990.01,20.49,877.61,839.98,915.23,19.2,0.08%
"Morgan County, AL",1103,1318,119012,1107.45,1047.66,1167.24,30.5,921.86,871.24,972.47,25.82,0.05%
"Perry County, AL",1105,129,9574,1347.4,1114.88,1579.92,118.63,1047.35,857.85,1236.85,96.68,0.00%
"Pickens County, AL",1107,250,20324,1230.07,1077.59,1382.55,77.8,953.32,832.18,1074.47,61.81,0.01%
"Pike County, AL",1109,302,33286,907.29,804.96,1009.62,52.21,866.12,766.04,966.21,51.06,0.01%
"Randolph County, AL",1111,295,22652,1302.31,1153.7,1450.93,75.82,912.04,805.04,1019.04,54.59,0.01%
"Russell County, AL",1113,657,58172,1129.41,1043.05,1215.77,44.06,1091.57,1006.76,1176.38,43.27,0.02%
"St. Clair County, AL",1115,975,88019,1107.72,1038.18,1177.25,35.48,999.19,934.76,1063.62,32.87,0.04%
"Shelby County, AL",1117,1490,210622,707.43,671.51,743.35,18.33,687.63,652.05,723.21,18.15,0.05%
"Sumter County, AL",1119,164,13040,1257.67,1065.18,1450.16,98.21,988.97,825.05,1152.89,83.63,0.01%
"Talladega County, AL",1121,1018,80103,1270.86,1192.79,1348.93,39.83,1042.67,977.03,1108.3,33.49,0.04%
"Tallapoosa County, AL",1123,589,40727,1446.22,1329.42,1563.01,59.59,1069.16,979.42,1158.9,45.79,0.02%
"Tuscaloosa County, AL",1125,1763,206102,855.4,815.47,895.33,20.37,903.26,860.29,946.24,21.93,0.06%
"Walker County, AL",1127,1012,64967,1557.71,1461.74,1653.69,48.97,1241.4,1162.3,1320.51,40.36,0.04%
"Washington County, AL",1129,212,16756,1265.22,1094.9,1435.53,86.9,1043.8,899.06,1188.54,73.85,0.01%
"Wilcox County, AL",1131,125,10986,1137.81,938.34,1337.28,101.77,857.15,702.7,1011.6,78.8,0.00%
