,State,County,City,Hospital,Location,Patient Rating,Completed Surveys,Survey Response Rate (%),Mortality Rate (by County),Population (by County)
0,MN,HENNEPIN,ROBBINSDALE,NORTH MEMORIAL MEDICAL CENTER,"3300 OAKDALE NORTH
ROBBINSDALE, MN
(45.014214, -93.321172)",3,957,26,NaN,NaN
1,AL,MARSHALL,BOAZ,MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",3,1250,35,NaN,NaN
2,MN,OLMSTED,ROCHESTER,MAYO CLINIC HOSPITAL ROCHESTER,"1216 SECOND STREET SOUTHWEST
ROCHESTER, MN
(44.021643, -92.481355)",4,708,38,NaN,NaN
3,MN,GOODHUE,RED WING,MAYO CLINIC HEALTH SYSTEM - RED WING,"701 HEWITT BOULEVARD, PO BOX 95
RED WING, MN
(44.560274, -92.575197)",4,347,33,NaN,NaN
4,MN,SAINT LOUIS,DULUTH,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,"407 EAST THIRD STREET
DULUTH, MN
(46.792843, -92.096395)",3,1816,31,NaN,NaN
5,MI,IONIA,IONIA,SPARROW IONIA HOSPITAL,"3565 S STATE ROAD
IONIA, MI
(42.935608, -85.07478)",3,206,37,NaN,NaN
6,AL,DE KALB,FORT PAYNE,DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE
FORT PAYNE, AL
",3,563,26,NaN,NaN
7,MN,HENNEPIN,MINNEAPOLIS,HENNEPIN COUNTY MEDICAL CENTER 1,"701 PARK AVENUE
MINNEAPOLIS, MN
(44.97285, -93.262707)",2,694,13,NaN,NaN
8,MI,IRON,IRON RIVER,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC","1400 W ICE LAKE ROAD
IRON RIVER, MI
(46.09972, -88.620281)",4,179,39,NaN,NaN
9,DE,SUSSEX,SEAFORD,NANTICOKE MEMORIAL HOSPITAL,"801 MIDDLEFORD RD
SEAFORD, DE
(38.642332, -75.605325)",4,570,21,NaN,NaN
10,FL,CHARLOTTE,PUNTA GORDA,BAYFRONT HEALTH PUNTA GORDA,"809 E MARION AVE
PUNTA GORDA, FL
(26.940682, -82.041788)",1,617,26,NaN,NaN
11,MI,DELTA,ESCANABA,ST FRANCIS HOSPITAL,"3401 LUDINGTON ST
ESCANABA, MI
(45.74576, -87.094853)",4,397,31,NaN,NaN
12,MI,VAN BUREN,PAW PAW,BRONSON LAKEVIEW HOSPITAL,"408 HAZEN STREET
PAW PAW, MI
(42.221009, -85.898014)",4,130,30,NaN,NaN
13,MI,EATON,CHARLOTTE,HAYES GREEN BEACH MEMORIAL HOSPITAL,"321 E HARRIS STREET
CHARLOTTE, MI
(42.564928, -84.831826)",4,189,36,NaN,NaN
14,MI,ALLEGAN,ALLEGAN,ALLEGAN GENERAL HOSPITAL,"555 LINN STREET
ALLEGAN, MI
(42.520259, -85.856939)",5,235,37,NaN,NaN
15,MI,GOGEBIC,IRONWOOD,ASPIRUS IRONWOOD HOSPITAL,"N10561 GRAND VIEW LANE
IRONWOOD, MI
(46.478193, -90.104689)",4,190,32,NaN,NaN
16,MI,SANILAC,MARLETTE,MARLETTE REGIONAL HOSPITAL,"2770 MAIN STREET
MARLETTE, MI
(43.332579, -83.08016)",4,119,38,NaN,NaN
17,MN,DAKOTA,NORTHFIELD,NORTHFIELD HOSPITAL,"2000 NORTH AVENUE
NORTHFIELD, MN
(44.471386, -93.191159)",4,550,39,NaN,NaN
18,MN,HENNEPIN,SAINT LOUIS PARK,PARK NICOLLET METHODIST HOSPITAL,"6500 EXCELSIOR BLVD
SAINT LOUIS PARK, MN
(44.927054, -93.362391)",3,1199,34,NaN,NaN
19,MN,WINONA,WINONA,WINONA HEALTH SERVICES,"855 MANKATO AVENUE
WINONA, MN
(44.033016, -91.622136)",3,325,29,NaN,NaN
20,MN,ISANTI,CAMBRIDGE,CAMBRIDGE MEDICAL CENTER,"701 SOUTH DELLWOOD AVENUE
CAMBRIDGE, MN
(45.56657, -93.229319)",4,463,31,NaN,NaN
21,MN,CARVER,WACONIA,RIDGEVIEW MEDICAL CENTER,"500 SOUTH MAPLE STREET
WACONIA, MN
(44.843306, -93.790772)",4,410,47,NaN,NaN
22,MN,HENNEPIN,MINNEAPOLIS,ABBOTT NORTHWESTERN HOSPITAL,"800 EAST 28TH STREET
MINNEAPOLIS, MN
(44.951954, -93.262248)",3,865,35,NaN,NaN
23,MN,FREEBORN,ALBERT LEA,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,"404 WEST FOUNTAIN STREET
ALBERT LEA, MN
(43.651558, -93.372469)",4,417,29,NaN,NaN
24,MN,OTTER TAIL,FERGUS FALLS,LAKE REGION HEALTHCARE CORPORATION,"712 SOUTH CASCADE
FERGUS FALLS, MN
(46.277138, -96.072407)",4,479,34,NaN,NaN
25,MN,RAMSEY,SAINT PAUL,UNITED HOSPITAL,"333 NORTH SMITH AVENUE
SAINT PAUL, MN
(44.94185, -93.108302)",3,481,30,NaN,NaN
26,MN,CHISAGO,WYOMING,FAIRVIEW LAKES MEDICAL CENTER,"5200 FAIRVIEW BOULEVARD
WYOMING, MN
(45.322267, -92.998466)",4,637,33,NaN,NaN
27,MN,DAKOTA,HASTINGS,REGINA HOSPITAL,"1175 NININGER ROAD
HASTINGS, MN
(44.747131, -92.871399)",4,341,34,NaN,NaN
28,MN,ITASCA,GRAND RAPIDS,GRAND ITASCA CLINIC AND HOSPITAL,"1601 GOLF COURSE ROAD
GRAND RAPIDS, MN
(47.221039, -93.554716)",4,314,27,NaN,NaN
29,MN,STEARNS,SAINT CLOUD,ST CLOUD HOSPITAL,"1406 6TH AVE NORTH
SAINT CLOUD, MN
(45.575325, -94.17045)",4,2259,35,NaN,NaN
30,MN,DOUGLAS,ALEXANDRIA,DOUGLAS COUNTY HOSPITAL,"111 17TH AVENUE EAST
ALEXANDRIA, MN
(45.872669, -95.37638)",4,511,44,NaN,NaN
31,MN,OLMSTED,ROCHESTER,OLMSTED MEDICAL CENTER,"1650 FOURTH STREET SOUTHEAST
ROCHESTER, MN
(44.020994, -92.439958)",4,325,21,NaN,NaN
32,MN,NOBLES,WORTHINGTON,SANFORD WORTHINGTON MEDICAL CENTER,"1018 SIXTH AVENUE PO BOX 997
WORTHINGTON, MN
(43.621858, -95.599179)",4,204,27,NaN,NaN
33,MI,NEWAYGO,FREMONT,SPECTRUM HEALTH GERBER MEMORIAL,"212 S SULLIVAN ST
FREMONT, MI
(43.464383, -85.950763)",4,424,32,NaN,NaN
34,MN,SAINT LOUIS,DULUTH,ST LUKES HOSPITAL,"915 EAST 1ST STREET
DULUTH, MN
(46.797027, -92.087038)",3,607,36,NaN,NaN
