,State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
0, AL,AUTAUGA ,520,55416,938.36,884.39,0.02%
1, AL,BALDWIN ,1974,208563,946.48,716.92,0.07%
2, AL,BARBOUR ,256,25965,985.94,800.68,0.01%
3, AL,BIBB ,239,22643,1055.51,927.67,0.01%
4, AL,BLOUNT ,697,57704,1207.89,989.37,0.03%
5, AL,BULLOCK ,133,10362,1283.54,1063.01,0.00%
6, AL,BUTLER ,275,19998,1375.14,1014,0.01%
7, AL,CALHOUN ,1404,114611,1225.01,1023.86,0.05%
8, AL,CHAMBERS ,460,33843,1359.22,1015.77,0.02%
9, AL,CHEROKEE ,361,25725,1403.3,1022.32,0.01%
10, AL,CHILTON ,475,43941,1080.99,920.05,0.02%
11, AL,CHOCTAW ,180,12993,1385.36,978.95,0.01%
12, AL,CLARKE ,315,24392,1291.41,942.78,0.01%
13, AL,CLAY ,177,13492,1311.89,916.94,0.01%
14, AL,CLEBURNE ,191,14924,1279.82,971.26,0.01%
15, AL,COFFEE ,508,51226,991.68,843.3,0.02%
16, AL,COLBERT ,707,54216,1304.04,955.83,0.03%
17, AL,CONECUH ,153,12395,1234.37,822.67,0.01%
18, AL,COOSA ,160,10581,1512.14,1167.86,0.01%
19, AL,COVINGTON ,503,37458,1342.84,949.82,0.02%
20, AL,CRENSHAW ,191,13913,1372.82,999.73,0.01%
21, AL,CULLMAN ,1012,82471,1227.1,988.9,0.04%
22, AL,DALE ,550,49226,1117.3,952.37,0.02%
23, AL,DALLAS ,571,40008,1427.21,1184.19,0.02%
24, AL,DEKALB ,792,70900,1117.07,974.63,0.03%
25, AL,ELMORE ,799,81799,976.78,917.54,0.03%
26, AL,ESCAMBIA ,522,37728,1383.59,1133.88,0.02%
27, AL,ETOWAH ,1389,102564,1354.28,1070.98,0.05%
28, AL,FAYETTE ,249,16546,1504.9,1068.35,0.01%
29, AL,FRANKLIN ,376,31628,1188.82,1021.86,0.01%
30, AL,GENEVA ,379,26614,1424.06,1022.74,0.01%
31, AL,GREENE ,104,8422,1234.86,885.98,0.00%
32, AL,HALE ,189,14952,1264.04,974.9,0.01%
33, AL,HENRY ,215,17164,1252.62,870.83,0.01%
34, AL,HOUSTON ,1112,104056,1068.66,887.12,0.04%
35, AL,JACKSON ,736,52138,1411.64,1076.54,0.03%
36, AL,JEFFERSON ,7137,659521,1082.15,925.7,0.26%
37, AL,LAMAR ,205,13918,1472.91,1029.75,0.01%
38, AL,LAUDERDALE ,1161,92318,1257.61,933.55,0.04%
39, AL,LAWRENCE ,400,33244,1203.22,1021.83,0.01%
40, AL,LEE ,1007,158991,633.37,756.6,0.04%
41, AL,LIMESTONE ,727,92753,783.8,738.41,0.03%
42, AL,LOWNDES ,148,10358,1428.85,1122.92,0.01%
43, AL,MACON ,259,18963,1365.82,1045.58,0.01%
