State,County,Hospital,Number of Completed Surveys
AK,Anchorage,3,3675
AK,Bethel,1,265
AK,Fairbanks North Star,1,666
AK,Juneau,1,270
AK,Ketchikan Gateway,1,123
AK,Kodiak Island,1,89
AK,Matanuska Susitna,1,633
AK,Nome,1,61
AK,Sitka,2,50
AL,Autauga,1,579
AL,Baldwin,3,2274
AL,Barbour,1,184
AL,Bibb,1,50
AL,Blount,1,128
AL,Bullock,1,56
AL,Butler,2,246
AL,Calhoun,3,1580
AL,Cherokee,1,118
AL,Clarke,2,235
AL,Clay,1,126
AL,Coffee,1,585
AL,Colbert,2,868
AL,Conecuh,1,292
AL,Covington,2,566
AL,Crenshaw,1,69
AL,Cullman,1,424
AL,Dale,1,195
AL,Dallas,1,466
AL,De Kalb,1,563
AL,Elmore,2,387
AL,Escambia,2,525
AL,Etowah,2,2262
AL,Fayette,1,166
AL,Franklin,2,398
AL,Geneva,1,160
AL,Hale,1,67
AL,Houston,2,1851
AL,Jackson,1,291
AL,Jefferson,9,15586
AL,Lauderdale,1,380
AL,Lawrence,1,102
AL,Lee,1,1518
AL,Limestone,2,413
AL,Madison,2,3026
AL,Marengo,1,136
AL,Marion,2,337
AL,Marshall,1,1250
AL,Mobile,5,6251
AL,Monroe,1,202
AL,Montgomery,3,3953
AL,Morgan,1,555
AL,Pickens,1,51
AL,Pike,1,308
AL,Randolph,1,50
AL,Russell,1,318
AL,Saint Clair,1,351
AL,Shelby,1,871
AL,Talladega,2,813
AL,Tallapoosa,2,803
AL,Tuscaloosa,1,1172
AL,Walker,1,533
AL,Wilcox,1,50
AL,Winston,1,259
AR,Arkansas,2,304
AR,Ashley,1,126
AR,Baxter,1,643
AR,Benton,3,1934
AR,Boone,1,545
AR,Bradley,1,52
AR,Carroll,2,90
AR,Clark,1,246
AR,Clay,1,113
AR,Cleburne,1,180
AR,Columbia,1,201
AR,Craighead,2,3723
AR,Crawford,1,130
AR,Cross,1,170
AR,Dallas,1,50
AR,Desha,2,100
AR,Drew,1,257
AR,Faulkner,2,1286
AR,Franklin,1,50
AR,Fulton,1,134
AR,Garland,3,1753
AR,Greene,1,608
AR,Hempstead,1,146
AR,Hot Spring,1,159
AR,Howard,1,78
AR,Independence,1,978
AR,Izard,1,85
AR,Jefferson,1,1241
AR,Johnson,1,220
AR,Lawrence,1,73
AR,Logan,2,50
AR,Mississippi,2,254
AR,Ouachita,1,281
AR,Phillips,1,364
AR,Polk,1,118
AR,Pope,1,520
AR,Pulaski,9,11171
AR,Randolph,1,97
AR,Saint Francis,1,396
AR,Saline,1,639
AR,Scott,1,50
AR,Sebastian,2,3515
AR,Sevier,1,61
AR,Union,1,531
AR,Van Buren,1,88
AR,Washington,3,3282
AR,White,1,946
AR,Yell,2,296
AZ,Apache,4,600
AZ,Cochise,4,627
AZ,Coconino,3,1896
AZ,Gila,3,732
AZ,Graham,1,327
AZ,La Paz,2,153
AZ,Maricopa,37,42867
AZ,Mohave,4,1939
AZ,Navajo,4,629
AZ,Pima,9,13032
AZ,Pinal,5,1638
AZ,Santa Cruz,1,161
AZ,Yavapai,2,1794
AZ,Yuma,1,810
CA,Alameda,13,15827
CA,Amador,1,412
CA,Butte,4,2593
CA,Calaveras,1,115
CA,Contra Costa,7,7217
CA,Del Norte,1,317
CA,El Dorado,2,744
CA,Fresno,8,6798
CA,Glenn,1,50
CA,Humboldt,4,1435
CA,Imperial,2,996
CA,Inyo,2,139
CA,Kern,10,4562
CA,Kings,1,1089
CA,Lake,2,491
CA,Lassen,1,167
CA,Los Angeles,82,72736
CA,Madera,1,449
CA,Marin,3,2938
CA,Mariposa,1,50
CA,Mendocino,3,1039
CA,Merced,2,1361
CA,Modoc,2,50
CA,Mono,1,141
CA,Monterey,4,2521
CA,Napa,2,1576
CA,Nevada,2,1087
CA,Orange,27,31515
CA,Placer,3,6885
CA,Plumas,3,62
CA,Riverside,16,18716
CA,Sacramento,9,18484
CA,San Benito,1,275
CA,San Bernardino,18,18615
CA,San Diego,16,29105
CA,San Francisco,10,9476
CA,San Joaquin,7,5483
CA,San Luis Obispo,3,2054
CA,San Mateo,7,6822
CA,Santa Barbara,5,6309
CA,Santa Clara,10,13980
CA,Santa Cruz,3,2344
CA,Shasta,4,1773
CA,Siskiyou,2,476
