,State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths,FIPS,Areaname,Land Area (Square Miles),Population per Square Mile
0,AK,Aleutians East,12,3296,Unreliable,Unreliable,0.00%,02013,"Aleutians East, AK",6981.94,0.47207509660638736
1,AK,Aleutians West,22,5647,389.59,594.32,0.00%,02016,"Aleutians West, AK",4390.28,1.2862505352733766
2,AK,Anchorage,1724,298192,578.15,717.44,0.06%,02020,"Anchorage, AK",1704.68,174.9254992139287
3,AK,Bethel,122,17968,678.98,1146.51,0.00%,02050,"Bethel, AK",40570.0,0.44288883411387725
4,AK,Bristol Bay,Suppressed,898,Suppressed,Suppressed,Suppressed,02060,"Bristol Bay, AK",503.84,1.7823118450301685
5,AK,Denali,10,1953,Unreliable,Unreliable,0.00%,02068,"Denali, AK",12751.41,0.15315953294576834
6,AK,Dillingham,31,4954,625.76,849.72,0.00%,02070,"Dillingham, AK",18568.78,0.26679189478253285
7,AK,Fairbanks North Star,514,100605,510.91,721.6,0.02%,02090,"Fairbanks North Star, AK",7338.21,13.709746654838169
8,AK,Haines,14,2496,Unreliable,Unreliable,0.00%,02100,"Haines, AK",2318.6,1.076511688087639
9,AK,Hoonah-Angoon,17,2078,Unreliable,Unreliable,0.00%,02105,"Hoonah-Angoon, AK",7524.92,0.2761491152065404
10,AK,Juneau,203,32468,625.23,724.33,0.01%,02110,"Juneau, AK",2701.93,12.01659554466622
11,AK,Kenai Peninsula,475,58506,811.88,755.32,0.02%,02122,"Kenai Peninsula, AK",16075.33,3.6394898269584512
12,AK,Ketchikan Gateway,87,13746,632.91,629.44,0.00%,02130,"Ketchikan Gateway, AK",4858.41,2.8293207036870087
13,AK,Kodiak Island,51,13732,371.4,544.68,0.00%,02150,"Kodiak Island, AK",6549.58,2.096622989565743
14,AK,Lake And Peninsula,17,1562,Unreliable,Unreliable,0.00%,02164,"Lake and Peninsula, AK",23652.01,0.06604089884961152
15,AK,Matanuska-Susitna,608,104365,582.57,766.87,0.02%,02170,"Matanuska-Susitna, AK",24607.9,4.241117689847569
16,AK,Nome,88,9917,887.37,1333.58,0.00%,02180,"Nome, AK",22961.76,0.4318919804056832
17,AK,North Slope,61,9606,635.02,1151.84,0.00%,02185,"North Slope, AK",88695.41,0.10830323688677915
18,AK,Northwest Arctic,56,7673,729.83,1064.18,0.00%,02188,"Northwest Arctic, AK",35572.58,0.21569984521786162
19,AK,Petersburg,23,3149,730.39,803.41,0.00%,02195,"Petersburg, AK",3281.98,0.9594817762448278
20,AK,Prince Of Wales-Hyder,63,6347,992.59,1554.05,0.00%,02198,"Prince of Wales-Hyder, AK",3922.87,1.6179480839283484
21,AK,Sitka,57,8830,645.53,594.36,0.00%,02220,"Sitka, AK",2870.34,3.076290613655525
22,AK,Skagway,Suppressed,1088,Suppressed,Suppressed,Suppressed,02230,"Skagway, AK",452.33,2.4053235469679217
23,AK,Southeast Fairbanks,47,6876,683.54,777.98,0.00%,02240,"Southeast Fairbanks, AK",24768.81,0.2776072003459189
24,AK,Valdez-Cordova,54,9355,577.23,718.02,0.00%,02261,"Valdez-Cordova, AK",34239.88,0.27321941548860573
25,AK,Wade Hampton,54,8049,670.89,1113.06,0.00%,02270,"Wade Hampton, AK",17081.43,0.47121347568675453
26,AK,Wrangell,16,2411,Unreliable,Unreliable,0.00%,02275,"Wrangell, AK",2541.48,0.9486598360010703
27,AK,Yakutat,Suppressed,601,Suppressed,Suppressed,Suppressed,02282,"Yakutat, AK",7649.46,0.07856763745414709
28,AK,Yukon-Koyukuk,55,5526,995.29,873.61,0.00%,02290,"Yukon-Koyukuk, AK",145504.79,0.037978131166678426
29,AL,Autauga,520,55416,938.36,884.39,0.02%,01001,"Autauga, AL",594.44,93.22387457102482
30,AL,Baldwin,1974,208563,946.48,716.92,0.07%,01003,"Baldwin, AL",1589.78,131.18985016794778
31,AL,Barbour,256,25965,985.94,800.68,0.01%,01005,"Barbour, AL",884.88,29.342961757526446
32,AL,Bibb,239,22643,1055.51,927.67,0.01%,01007,"Bibb, AL",622.58,36.36962318095666
33,AL,Blount,697,57704,1207.89,989.37,0.03%,01009,"Blount, AL",644.78,89.4940910077856
34,AL,Bullock,133,10362,1283.54,1063.01,0.00%,01011,"Bullock, AL",622.81,16.637497792264096
35,AL,Butler,275,19998,1375.14,1014,0.01%,01013,"Butler, AL",776.83,25.743084072448283
36,AL,Calhoun,1404,114611,1225.01,1023.86,0.05%,01015,"Calhoun, AL",605.87,189.16764322379387
37,AL,Chambers,460,33843,1359.22,1015.77,0.02%,01017,"Chambers, AL",596.53,56.73310646572679
38,AL,Cherokee,361,25725,1403.3,1022.32,0.01%,01019,"Cherokee, AL",553.7,46.46017699115044
39,AL,Chilton,475,43941,1080.99,920.05,0.02%,01021,"Chilton, AL",692.85,63.42065382117341
40,AL,Choctaw,180,12993,1385.36,978.95,0.01%,01023,"Choctaw, AL",913.5,14.223316912972086
41,AL,Clarke,315,24392,1291.41,942.78,0.01%,01025,"Clarke, AL",1238.47,19.695269162757274
42,AL,Clay,177,13492,1311.89,916.94,0.01%,01027,"Clay, AL",603.96,22.339227763428042
43,AL,Cleburne,191,14924,1279.82,971.26,0.01%,01029,"Cleburne, AL",560.1,26.645241921085518
44,AL,Coffee,508,51226,991.68,843.3,0.02%,01031,"Coffee, AL",678.97,75.44663239907507
45,AL,Colbert,707,54216,1304.04,955.83,0.03%,01033,"Colbert, AL",592.62,91.4852688063177
46,AL,Conecuh,153,12395,1234.37,822.67,0.01%,01035,"Conecuh, AL",850.16,14.57960854427402
47,AL,Coosa,160,10581,1512.14,1167.86,0.01%,01037,"Coosa, AL",650.93,16.255204092605965
48,AL,Covington,503,37458,1342.84,949.82,0.02%,01039,"Covington, AL",1030.46,36.35075597306057
49,AL,Crenshaw,191,13913,1372.82,999.73,0.01%,01041,"Crenshaw, AL",608.84,22.851652322449247
50,AL,Cullman,1012,82471,1227.1,988.9,0.04%,01043,"Cullman, AL",734.84,112.22987316966959
51,AL,Dale,550,49226,1117.3,952.37,0.02%,01045,"Dale, AL",561.15,87.72342510915085
52,AL,Dallas,571,40008,1427.21,1184.19,0.02%,01047,"Dallas, AL",978.7,40.878716664963726
53,AL,Dekalb,792,70900,1117.07,974.63,0.03%,01049,"DeKalb, AL",777.09,91.23782316076644
54,AL,Elmore,799,81799,976.78,917.54,0.03%,01051,"Elmore, AL",618.49,132.25597826965674
55,AL,Escambia,522,37728,1383.59,1133.88,0.02%,01053,"Escambia, AL",945.08,39.920430016506536
56,AL,Etowah,1389,102564,1354.28,1070.98,0.05%,01055,"Etowah, AL",534.99,191.7119946167218
57,AL,Fayette,249,16546,1504.9,1068.35,0.01%,01057,"Fayette, AL",627.66,26.361405856673997
58,AL,Franklin,376,31628,1188.82,1021.86,0.01%,01059,"Franklin, AL",633.82,49.90060269477138
59,AL,Geneva,379,26614,1424.06,1022.74,0.01%,01061,"Geneva, AL",574.41,46.3327588308003
60,AL,Greene,104,8422,1234.86,885.98,0.00%,01063,"Greene, AL",647.11,13.014788830337963
61,AL,Hale,189,14952,1264.04,974.9,0.01%,01065,"Hale, AL",643.94,23.21955461688977
62,AL,Henry,215,17164,1252.62,870.83,0.01%,01067,"Henry, AL",561.75,30.554517133956388
63,AL,Houston,1112,104056,1068.66,887.12,0.04%,01069,"Houston, AL",579.82,179.46259183884652
64,AL,Jackson,736,52138,1411.64,1076.54,0.03%,01071,"Jackson, AL",1077.87,48.371324927867
65,AL,Jefferson,7137,659521,1082.15,925.7,0.26%,01073,"Jefferson, AL",1111.28,593.4786912389317
66,AL,Lamar,205,13918,1472.91,1029.75,0.01%,01075,"Lamar, AL",604.85,23.010663800942382
67,AL,Lauderdale,1161,92318,1257.61,933.55,0.04%,01077,"Lauderdale, AL",667.7,138.26269282611952
68,AL,Lawrence,400,33244,1203.22,1021.83,0.01%,01079,"Lawrence, AL",690.68,48.132275438698095
69,AL,Lee,1007,158991,633.37,756.6,0.04%,01081,"Lee, AL",607.54,261.69634921157456
70,AL,Limestone,727,92753,783.8,738.41,0.03%,01083,"Limestone, AL",559.94,165.64810515412364
71,AL,Lowndes,148,10358,1428.85,1122.92,0.01%,01085,"Lowndes, AL",715.91,14.468299087874176
72,AL,Macon,259,18963,1365.82,1045.58,0.01%,01087,"Macon, AL",608.89,31.143556307379
73,AL,Madison,3282,356967,919.41,834.15,0.12%,01089,"Madison, AL",801.59,445.32366920745017
74,AL,Marengo,270,19673,1372.44,963.87,0.01%,01091,"Marengo, AL",976.88,20.138604536892966
75,AL,Marion,388,29998,1293.42,929.52,0.01%,01093,"Marion, AL",742.29,40.41277667757885
76,AL,Marshall,1187,95157,1247.41,1052.75,0.04%,01095,"Marshall, AL",565.84,168.16944719355294
77,AL,Mobile,4411,414836,1063.31,944.44,0.16%,01097,"Mobile, AL",1229.44,337.41866215512755
78,AL,Monroe,237,21530,1100.79,861.85,0.01%,01099,"Monroe, AL",1025.68,20.990952343810935
79,AL,Montgomery,2150,226349,949.86,877.61,0.08%,01101,"Montgomery, AL",784.25,288.61842524705133
80,AL,Morgan,1318,119012,1107.45,921.86,0.05%,01103,"Morgan, AL",579.34,205.42686505333654
81,AL,Perry,129,9574,1347.4,1047.35,0.00%,01105,"Perry, AL",719.66,13.30350443264875
82,AL,Pickens,250,20324,1230.07,953.32,0.01%,01107,"Pickens, AL",881.41,23.058508526111574
83,AL,Pike,302,33286,907.29,866.12,0.01%,01109,"Pike, AL",672.09,49.52610513472898
84,AL,Randolph,295,22652,1302.31,912.04,0.01%,01111,"Randolph, AL",580.55,39.01817242270261
85,AL,Russell,657,58172,1129.41,1091.57,0.02%,01113,"Russell, AL",641.14,90.73213338740369
86,AL,Shelby,1490,210622,707.43,687.63,0.05%,01117,"Shelby, AL",784.93,268.3322079675895
87,AL,St. Clair,975,88019,1107.72,999.19,0.04%,01115,"St. Clair, AL",631.9,139.292609590125
88,AL,Sumter,164,13040,1257.67,988.97,0.01%,01119,"Sumter, AL",903.89,14.426534202170618
89,AL,Talladega,1018,80103,1270.86,1042.67,0.04%,01121,"Talladega, AL",736.78,108.72037786041967
90,AL,Tallapoosa,589,40727,1446.22,1069.16,0.02%,01123,"Tallapoosa, AL",716.52,56.84000446603026
91,AL,Tuscaloosa,1763,206102,855.4,903.26,0.06%,01125,"Tuscaloosa, AL",1321.76,155.92997215833435
92,AL,Walker,1012,64967,1557.71,1241.4,0.04%,01127,"Walker, AL",791.19,82.11301962866062
93,AL,Washington,212,16756,1265.22,1043.8,0.01%,01129,"Washington, AL",1080.21,15.51179863174753
94,AL,Wilcox,125,10986,1137.81,857.15,0.00%,01131,"Wilcox, AL",888.5,12.364659538548114
95,AL,Winston,324,23805,1361.06,960.97,0.01%,01133,"Winston, AL",612.98,38.834872263369114
96,AR,Arkansas,250,18214,1372.57,1017.58,0.01%,05001,"Arkansas, AR",988.77,18.420866328873245
97,AR,Ashley,262,20492,1278.55,977.75,0.01%,05003,"Ashley, AR",925.35,22.145134273518128
98,AR,Baxter,700,41062,1704.74,852.2,0.03%,05005,"Baxter, AR",554.28,74.08169156383056
