,State,County,Hospital,Number of Completed Surveys,FIPS
0,AK,Anchorage,3.0,3675.0,02020
1,AK,Bethel,1.0,265.0,02050
2,AK,Fairbanks North Star,1.0,666.0,02090
3,AK,Juneau,1.0,270.0,02110
4,AK,Ketchikan Gateway,1.0,123.0,02130
5,AK,Kodiak Island,1.0,89.0,02150
6,AK,Matanuska Susitna,1.0,633.0,02170
7,AK,Nome,1.0,61.0,02180
8,AK,Sitka,2.0,50.0,02220
9,AL,Autauga,1.0,579.0,01001
10,AL,Baldwin,3.0,2274.0,01003
11,AL,Barbour,1.0,184.0,01005
12,AL,Bibb,1.0,50.0,01007
13,AL,Blount,1.0,128.0,01009
14,AL,Bullock,1.0,56.0,01011
15,AL,Butler,2.0,246.0,01013
16,AL,Calhoun,3.0,1580.0,01015
17,AL,Cherokee,1.0,118.0,01019
18,AL,Clarke,2.0,235.0,01025
19,AL,Clay,1.0,126.0,01027
20,AL,Coffee,1.0,585.0,01031
21,AL,Colbert,2.0,868.0,01033
22,AL,Conecuh,1.0,292.0,01035
23,AL,Covington,2.0,566.0,01039
24,AL,Crenshaw,1.0,69.0,01041
25,AL,Cullman,1.0,424.0,01043
26,AL,Dale,1.0,195.0,01045
27,AL,Dallas,1.0,466.0,01047
28,AL,De Kalb,1.0,563.0,01049
29,AL,Elmore,2.0,387.0,01051
30,AL,Escambia,2.0,525.0,01053
31,AL,Etowah,2.0,2262.0,01055
32,AL,Fayette,1.0,166.0,01057
33,AL,Franklin,2.0,398.0,01059
34,AL,Geneva,1.0,160.0,01061
35,AL,Hale,1.0,67.0,01065
36,AL,Houston,2.0,1851.0,01069
37,AL,Jackson,1.0,291.0,01071
38,AL,Jefferson,9.0,15586.0,01073
39,AL,Lauderdale,1.0,380.0,01077
40,AL,Lawrence,1.0,102.0,01079
41,AL,Lee,1.0,1518.0,01081
42,AL,Limestone,2.0,413.0,01083
43,AL,Madison,2.0,3026.0,01089
44,AL,Marengo,1.0,136.0,01091
45,AL,Marion,2.0,337.0,01093
46,AL,Marshall,1.0,1250.0,01095
47,AL,Mobile,5.0,6251.0,01097
48,AL,Monroe,1.0,202.0,01099
49,AL,Montgomery,3.0,3953.0,01101
50,AL,Morgan,1.0,555.0,01103
51,AL,Pickens,1.0,51.0,01107
52,AL,Pike,1.0,308.0,01109
53,AL,Randolph,1.0,50.0,01111
54,AL,Russell,1.0,318.0,01113
55,AL,Saint Clair,1.0,351.0,01115
56,AL,Shelby,1.0,871.0,01117
57,AL,Talladega,2.0,813.0,01121
58,AL,Tallapoosa,2.0,803.0,01123
59,AL,Tuscaloosa,1.0,1172.0,01125
60,AL,Walker,1.0,533.0,01127
