State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
AK,Aleutians East,12,3296,Unreliable,Unreliable,0.00%
AK,Aleutians West,22,5647,389.59,594.32,0.00%
AK,Anchorage,1724,298192,578.15,717.44,0.06%
AK,Bethel,122,17968,678.98,1146.51,0.00%
AK,Bristol Bay,Suppressed,898,Suppressed,Suppressed,Suppressed
AK,Denali,10,1953,Unreliable,Unreliable,0.00%
AK,Dillingham,31,4954,625.76,849.72,0.00%
AK,Fairbanks North Star,514,100605,510.91,721.6,0.02%
AK,Haines,14,2496,Unreliable,Unreliable,0.00%
AK,Hoonah-Angoon,17,2078,Unreliable,Unreliable,0.00%
AK,Juneau,203,32468,625.23,724.33,0.01%
AK,Kenai Peninsula,475,58506,811.88,755.32,0.02%
AK,Ketchikan Gateway,87,13746,632.91,629.44,0.00%
AK,Kodiak Island,51,13732,371.4,544.68,0.00%
AK,Lake And Peninsula,17,1562,Unreliable,Unreliable,0.00%
AK,Matanuska-Susitna,608,104365,582.57,766.87,0.02%
AK,Nome,88,9917,887.37,1333.58,0.00%
AK,North Slope,61,9606,635.02,1151.84,0.00%
AK,Northwest Arctic,56,7673,729.83,1064.18,0.00%
AK,Petersburg,23,3149,730.39,803.41,0.00%
AK,Prince Of Wales-Hyder,63,6347,992.59,1554.05,0.00%
AK,Sitka,57,8830,645.53,594.36,0.00%
AK,Skagway,Suppressed,1088,Suppressed,Suppressed,Suppressed
AK,Southeast Fairbanks,47,6876,683.54,777.98,0.00%
AK,Valdez-Cordova,54,9355,577.23,718.02,0.00%
AK,Wade Hampton,54,8049,670.89,1113.06,0.00%
AK,Wrangell,16,2411,Unreliable,Unreliable,0.00%
AK,Yakutat,Suppressed,601,Suppressed,Suppressed,Suppressed
AK,Yukon-Koyukuk,55,5526,995.29,873.61,0.00%
AL,Autauga,520,55416,938.36,884.39,0.02%
AL,Baldwin,1974,208563,946.48,716.92,0.07%
AL,Barbour,256,25965,985.94,800.68,0.01%
AL,Bibb,239,22643,1055.51,927.67,0.01%
AL,Blount,697,57704,1207.89,989.37,0.03%
AL,Bullock,133,10362,1283.54,1063.01,0.00%
AL,Butler,275,19998,1375.14,1014,0.01%
AL,Calhoun,1404,114611,1225.01,1023.86,0.05%
AL,Chambers,460,33843,1359.22,1015.77,0.02%
AL,Cherokee,361,25725,1403.3,1022.32,0.01%
AL,Chilton,475,43941,1080.99,920.05,0.02%
AL,Choctaw,180,12993,1385.36,978.95,0.01%
AL,Clarke,315,24392,1291.41,942.78,0.01%
AL,Clay,177,13492,1311.89,916.94,0.01%
AL,Cleburne,191,14924,1279.82,971.26,0.01%
AL,Coffee,508,51226,991.68,843.3,0.02%
AL,Colbert,707,54216,1304.04,955.83,0.03%
AL,Conecuh,153,12395,1234.37,822.67,0.01%
AL,Coosa,160,10581,1512.14,1167.86,0.01%
AL,Covington,503,37458,1342.84,949.82,0.02%
AL,Crenshaw,191,13913,1372.82,999.73,0.01%
AL,Cullman,1012,82471,1227.1,988.9,0.04%
AL,Dale,550,49226,1117.3,952.37,0.02%
AL,Dallas,571,40008,1427.21,1184.19,0.02%
AL,Dekalb,792,70900,1117.07,974.63,0.03%
AL,Elmore,799,81799,976.78,917.54,0.03%
AL,Escambia,522,37728,1383.59,1133.88,0.02%
AL,Etowah,1389,102564,1354.28,1070.98,0.05%
AL,Fayette,249,16546,1504.9,1068.35,0.01%
AL,Franklin,376,31628,1188.82,1021.86,0.01%
AL,Geneva,379,26614,1424.06,1022.74,0.01%
AL,Greene,104,8422,1234.86,885.98,0.00%
AL,Hale,189,14952,1264.04,974.9,0.01%
AL,Henry,215,17164,1252.62,870.83,0.01%
