,STNAME,State,City,PopEstimate2016
0,Alabama,AL,ABBEVILLE CITY,2603
1,Alabama,AL,ADAMSVILLE CITY,4360
2,Alabama,AL,ADDISON TOWN,738
3,Alabama,AL,AKRON TOWN,334
4,Alabama,AL,ALABASTER CITY,32948
5,Alabama,AL,ALBERTVILLE CITY,21525
6,Alabama,AL,ALEXANDER CITY CITY,14773
7,Alabama,AL,ALICEVILLE CITY,2357
8,Alabama,AL,ALLGOOD TOWN,627
9,Alabama,AL,ALTOONA TOWN,919
10,Alabama,AL,ANDALUSIA CITY,8968
11,Alabama,AL,ANDERSON TOWN,276
12,Alabama,AL,ANNISTON CITY,22112
13,Alabama,AL,ARAB CITY,8340
14,Alabama,AL,ARDMORE TOWN,1382
15,Alabama,AL,ARGO TOWN,4213
16,Alabama,AL,ARITON TOWN,741
17,Alabama,AL,ARLEY TOWN,350
18,Alabama,AL,ASHFORD TOWN,2149
19,Alabama,AL,ASHLAND TOWN,1971
20,Alabama,AL,ASHVILLE CITY,2275
21,Alabama,AL,ATHENS CITY,25393
22,Alabama,AL,ATMORE CITY,10022
23,Alabama,AL,ATTALLA CITY,5865
24,Alabama,AL,AUBURN CITY,63118
25,Alabama,AL,AUTAUGAVILLE TOWN,854
26,Alabama,AL,AVON TOWN,505
27,Alabama,AL,BABBIE TOWN,600
28,Alabama,AL,BAILEYTON TOWN,627
29,Alabama,AL,BAKERHILL TOWN,261
30,Alabama,AL,BANKS TOWN,173
31,Alabama,AL,BAY MINETTE CITY,9312
32,Alabama,AL,BAYOU LA BATRE CITY,2513
33,Alabama,AL,BEAR CREEK TOWN,1041
34,Alabama,AL,BEATRICE TOWN,283
35,Alabama,AL,BEAVERTON TOWN,187
36,Alabama,AL,BELK TOWN,207
37,Alabama,AL,BENTON TOWN,46
38,Alabama,AL,BERRY TOWN,1099
39,Alabama,AL,BESSEMER CITY,26511
40,Alabama,AL,BILLINGSLEY TOWN,141
41,Alabama,AL,BIRMINGHAM CITY,212157
